Contract Type,Contract Capacity (MW),Facility Name,Supplier Legal Name,Contract Status,Contract Term (Yrs),Milestone Commercial Operation Date,Term Start Date,Term End Date,Fuel Group,Technology,Fuel Type,Connection Type,Closest City/Town,Upper Municipality,IESO Zone,Regional Planning Zone
FIT 1,0.25,Normanby Solar 4,757182 Ontario Ltd.,CO,20,29-Jun-13,10-May-12,09-May-32,Renewables,Solar Rooftop,Solar,Dx,Ayton,Grey,Southwest,Peterborough to Kingston
FIT 1,0.25,T04-3429 Kennedy,Alectra Utilities Corporation,CO,20,08-Apr-14,12-Nov-14,11-Nov-34,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 1,0.25,Turn The Boat Around Solar System,2030 North Talbot Road Inc.,CO,20,23-Mar-14,21-Aug-14,20-Aug-34,Renewables,Solar Rooftop,Solar,Dx,Windsor,Essex,West,Toronto
FIT 1,0.25,10001R - Canada Aviation Museum,"TerraForm MP Solar, LLC",CO,20,24-Aug-13,07-Feb-14,06-Feb-34,Renewables,Solar Rooftop,Solar,Dx,Ottawa,Ottawa,Ottawa,North/East of Sudbury
FIT 1,0.25,Dimplex Distribution Centre Rooftop PV Project,Grand River Energy Solutions Corp.,CO,20,03-Aug-14,02-Feb-15,01-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Cambridge,Waterloo,Southwest,Greater Bruce/Huron
FIT 1,0.25,Seagrave Solar One,Alectra Utilities Corporation,CO,20,30-Apr-12,01-Mar-12,29-Feb-32,Renewables,Solar Rooftop,Solar,Dx,Seagrave,Durham,Essa,GTA East
FIT 1,0.25,H06-49 FOURTH,PSI Solar Finance 1 Limited Partnership,CO,20,03-Aug-14,25-Jun-14,24-Jun-34,Renewables,Solar Rooftop,Solar,Dx,Orangeville,Dufferin,Southwest,Chatham/Lambton/Sarnia
FIT 1,0.25,570 River Road,Corporation of Welland,CO,20,31-May-14,19-Dec-12,18-Dec-32,Renewables,Solar Rooftop,Solar,Dx,Welland,Niagara,Niagara,Toronto
FIT 1,0.25,H06-20 YMCA,PSI Solar Finance 1 Limited Partnership,CO,20,08-Apr-14,31-Jul-14,30-Jul-34,Renewables,Solar Rooftop,Solar,Dx,St. Catharines,Niagara,Niagara,Toronto
FIT 1,0.25,N02-68 Leek,Norman James Gottlieb,CO,20,24-Jun-14,08-Mar-13,07-Mar-33,Renewables,Solar Rooftop,Solar,Dx,Richmond Hill,York,Toronto,GTA East
FIT 1,0.25,Heated Self-Storage,Heated Self-Storage Inc.,CO,20,30-Apr-12,15-Jul-11,14-Jul-31,Renewables,Solar Rooftop,Solar,Dx,Orillia,Simcoe,Essa,Peterborough to Kingston
FIT 1,0.25,1600 Greenwood,1600 Greenwood Inc,CO,20,07-Jun-14,14-Jun-12,13-Jun-32,Renewables,Solar Rooftop,Solar,Dx,Beachburg,Renfrew,East,GTA West
FIT 1,0.25,Pelee Island Winery,Pelee Island Winery & Vineyards Inc.,CO,20,22-Mar-14,18-Jun-13,17-Jun-33,Renewables,Solar Rooftop,Solar,Dx,Kingsville,Essex,West,GTA North
FIT 1,0.25,Lindsay A Solar Farm,Pine Point Farms Ltd.,CO,20,15-Jun-13,21-Oct-13,20-Oct-33,Renewables,Solar Rooftop,Solar,Dx,Lindsay,Kawartha Lakes,Essa,Niagara
FIT 1,0.25,Canadian Solar Developers Ltd. L.P. #16,Mann Ground Mount Solar Ltd.,CO,20,25-Feb-14,08-Sep-15,07-Sep-35,Renewables,Solar Ground Mounted,Solar,Dx,Midhurst,Simcoe,Essa,London Area
FIT 1,0.25,1608 The Queensway,MOM Solar Limited Partnership,CO,20,30-Apr-12,28-Sep-12,27-Sep-32,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Peterborough to Kingston
FIT 1,0.25,Prism Farms Solar 1,1797472 ONTARIO INC.,CO,20,30-Apr-12,28-Nov-11,27-Nov-31,Renewables,Solar Rooftop,Solar,Dx,Leamington,Essex,West,Greater Ottawa
FIT 1,0.25,892 3rd Line,Rowan Fleming and Lilli Fleming carrying on business as Panorama Solar,CO,20,30-Jun-14,04-Feb-13,03-Feb-33,Renewables,Solar Rooftop,Solar,Dx,Bailieboro,Peterborough,East,Chatham/Lambton/Sarnia
FIT 1,0.25,"#199 8505 Tecumseh Rd, Windsor",PSI Solar Finance 1 Limited Partnership,CO,20,15-Sep-14,17-Jul-13,16-Jul-33,Renewables,Solar Rooftop,Solar,Dx,Windsor,Essex,West,Greater Ottawa
FIT 1,0.25,Part lot # 1516 Concession 6 Williamsburg,Eco-Energy Reserves Inc.,CO,20,02-Jul-14,21-Nov-12,20-Nov-32,Renewables,Solar Rooftop,Solar,Dx,Williamsburg,"Stormont, Dundas and Glengarry",East,Kitchener-Waterloo-Guelph-Cambridge
FIT 1,0.25,LapWel Renewable Energy (shop rooftop),2114520 Ontario Inc.,CO,20,06-Jun-14,06-Nov-14,05-Nov-34,Renewables,Solar Rooftop,Solar,Dx,Alexandria,"Stormont, Dundas and Glengarry",Ottawa,Windsor-Essex
FIT 1,0.25,C5 Farm Solar One,2262474 Ontario Inc.,CO,20,17-Jun-14,10-Jul-12,09-Jul-32,Renewables,Solar Rooftop,Solar,Dx,Delta,Leeds and Grenville,East,Greater Bruce/Huron
FIT 1,0.25,Terra Niagara # 2,Brightroof Solar Limited Partnership,CO,20,28-Jun-14,08-Oct-14,07-Oct-34,Renewables,Solar Rooftop,Solar,Dx,St. Catharines,Niagara,Niagara,Windsor-Essex
FIT 1,0.25,Skyjack Inc Plant 1,Skyjack Inc,CO,20,06-Jul-13,11-Oct-13,10-Oct-33,Renewables,Solar Rooftop,Solar,Dx,Guelph,Wellington,Southwest,Windsor-Essex
FIT 1,0.25,(C77) Real Canadian Superstore South Service Road,Firelight Solar LP,CO,20,15-Jun-14,01-Oct-14,30-Sep-34,Renewables,Solar Rooftop,Solar,Dx,Grimsby,Niagara,Niagara,GTA West
FIT 1,0.25,625 Harvie Settlement Rd,EcoPoly Properties Inc.,CO,20,10-Jun-13,12-Jun-13,09-Jun-33,Renewables,Solar Rooftop,Solar,Dx,Orillia,Simcoe,Essa,Greater Ottawa
FIT 1,0.25,545 CR - 22 P.E.C.,CLEAVE ENERGY HOLDINGS LTD.,CO,20,02-Jul-13,10-Mar-14,01-Jul-33,Renewables,Solar Rooftop,Solar,Dx,Picton,Prince Edward,East,Peterborough to Kingston
FIT 1,0.25,(C73) Real Canadian Superstore Highland Road West,Firelight Solar LP,CO,20,15-Jun-14,24-Oct-13,23-Oct-33,Renewables,Solar Rooftop,Solar,Dx,Kitchener,Waterloo,Southwest,Peterborough to Kingston
FIT 1,0.25,1024248 Ontario Inc. Biogas,1024248 Ontario Inc.,CO,20,15-Jun-13,28-Aug-14,14-Jun-33,Renewables,Bioenergy,Biogas (On-Farm),Dx,St. Bernardin,Prescott and Russell,Ottawa,Northwest Ontario
FIT 1,0.25,(C82) Real Canadian Superstore Victoria Street,Firelight Solar LP,CO,20,15-Jun-14,24-Sep-13,23-Sep-33,Renewables,Solar Rooftop,Solar,Dx,Strathroy,Middlesex,West,Peterborough to Kingston
FIT 1,0.25,176 Hayward Avenue,PSI Solar Finance 1 Limited Partnership,CO,20,23-Mar-13,08-Mar-13,07-Mar-33,Renewables,Solar Rooftop,Solar,Dx,Kitchener,Waterloo,Southwest,Kitchener-Waterloo-Guelph-Cambridge
FIT 1,0.25,247 Kingsley Road,CLEAVE ENERGY HOLDINGS LTD.,CO,20,02-Jul-13,10-Mar-14,01-Jul-33,Renewables,Solar Rooftop,Solar,Dx,Picton,Prince Edward,East,Burlington to Nanticoke
FIT 1,0.25,Corvex Manufacturing,Linamar Corporation,CO,20,30-Apr-12,15-Mar-12,14-Mar-32,Renewables,Solar Rooftop,Solar,Dx,Guelph,Wellington,Southwest,St. Lawrence
FIT 1,0.25,H06-2120 PARKDALE,PSI Solar Finance 1 Limited Partnership,CO,20,15-Jun-14,19-Sep-14,18-Sep-34,Renewables,Solar Rooftop,Solar,Dx,Brockville,Leeds and Grenville,East,Greater Bruce/Huron
FIT 1,0.25,"#237 3850 HIGHWAY #7, WOODBRIDGE",PSI Solar Finance 1 Limited Partnership,CO,20,28-Jun-15,28-Nov-13,27-Nov-33,Renewables,Solar Rooftop,Solar,Dx,Woodbridge,York,Toronto,South Georgian Bay/Muskoka
FIT 2,0.25,McGarry - Sewage Lagoon,Solaire McGarry Solar Inc.,CO,20,20-Aug-16,20-Feb-18,19-Aug-36,Renewables,Solar Ground Mounted,Solar,Dx,McGarry,Cochrane,Northeast,Greater Ottawa
FIT 2,0.25,LON-1420 Global,Métis Nation of Ontario - BrightRoof Solar LP,CO,20,28-Feb-15,03-Sep-14,02-Sep-34,Renewables,Solar Rooftop,Solar,Dx,London,Middlesex,West,GTA East
FIT 2,0.25,Solexica - 200 Romina,Solexica Solar Vaughan GP,CO,20,18-Apr-15,01-Dec-14,30-Nov-34,Renewables,Solar Rooftop,Solar,Dx,Concord,York,Toronto,South Georgian Bay/Muskoka
FIT 2,0.25,Butcher Enterprises,Community Solar Assets 2 Limited,CO,20,23-Apr-15,22-Oct-15,22-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Brampton,Peel,Toronto,GTA North
FIT 2,0.25,TOR-500 Barmac,Métis Nation of Ontario - BrightRoof Solar LP,CO,20,23-Apr-15,20-Feb-15,19-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,GTA North
FIT 2,0.25,EXE-39995 Harvest,Métis Nation of Ontario - BrightRoof Solar LP,CO,20,10-Apr-15,19-Jan-15,18-Jan-35,Renewables,Solar Rooftop,Solar,Dx,Exeter,Huron,Southwest,Burlington to Nanticoke
FIT 2,0.25,CFC Warehouse Solar PV Project,CFC Warehouse & Distribution Inc.,CO,20,28-Feb-15,09-Feb-15,08-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Wheatley,Chatham-Kent,West,GTA West
FIT 2,0.25,Schuler Solar Project,Grand River Farms Inc.,CO,20,19-Feb-15,19-Aug-15,18-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Ayr,Waterloo,Southwest,Windsor-Essex
FIT 2,0.25,GGELP_0001,Gengrowth Energy LP,CO,20,15-Oct-16,03-Jan-17,14-Oct-36,Renewables,Solar Ground Mounted,Solar,Dx,Grafton,Northumberland,East,Toronto
FIT 2,0.25,Solexica - 380 Kingston,Solexica Solar Ajax GP,CO,20,18-Apr-15,17-Apr-15,16-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Ajax,Durham,Toronto,GTA West
FIT 2,0.25,Dresden Ag Society,Boost Power II Limited Partnership,CO,20,15-Jul-15,16-Feb-16,14-Jul-35,Renewables,Solar Rooftop,Solar,Dx,Dresden,Chatham-Kent,West,Toronto
FIT 2,0.25,Donnandale Farms (Phase 2),Ridgeline Farms Inc.,CO,20,10-Sep-16,13-Apr-15,12-Apr-35,Renewables,Bioenergy,Biogas (On-Farm),Dx,Stirling,Hastings,East,Windsor-Essex
FIT 2,0.25,Baltimore Recreation Centre,SE7 2013 LP,CO,20,21-Feb-15,23-Jun-15,20-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Baltimore,Northumberland,East,Greater Bruce/Huron
FIT 2,0.25,Icarus 250kW Guelph,Icarus and GSCC Joint Venture,CO,20,26-Feb-15,05-Oct-15,25-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Guelph,Wellington,Southwest,Burlington to Nanticoke
FIT 2,0.25,Wilhillea-PV Solar,"LIFE Co-operative Inc. and Wilhillea Farms Ltd. as joint venturers, c.o.b LIFE Solar JV110",CO,20,16-Apr-15,17-Jul-15,15-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Walkerton,Bruce,Southwest,St. Lawrence
FIT 2,0.25,Chemong Plaza,Chemong Plaza Solar LP,CO,20,18-Apr-15,24-Jun-15,17-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Peterborough,Peterborough,East,North/East of Sudbury
FIT 2,0.25,TOR-160 Claireville,Métis Nation of Ontario - BrightRoof Solar LP,CO,20,23-Apr-15,17-Jul-15,22-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Windsor-Essex
FIT 2,0.25,St. Mary's Catholic High School,Potentia Solar 6 Limited Partnership,CO,20,03-Apr-15,16-Sep-15,02-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Kitchener,Waterloo,Southwest,Toronto
FIT 2,0.25,COLBORNE ONE,RAMS Solar Inc.,CO,20,07-Oct-16,19-Mar-18,06-Oct-36,Renewables,Solar Ground Mounted,Solar,Dx,Colborne,Northumberland,East,Kitchener-Waterloo-Guelph-Cambridge
FIT 2,0.25,Base Solar PV,SEELEY BEAVER SPRINGS LTD.,CO,20,17-Oct-16,27-May-16,26-May-36,Renewables,Solar Ground Mounted,Solar,Dx,Flesherton,Grey,Southwest,Greater Bruce/Huron
FIT 2,0.25,135 Dundas Street RT,JCM Solar GP1 Ltd.,CO,20,18-Apr-15,18-Sep-15,17-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Cambridge,Waterloo,Southwest,East Lake Superior
FIT 2,0.25,Endura Energy - 2605 Summerville,Community Solar Assets 2 Limited,CO,20,26-Feb-15,06-Oct-14,05-Oct-34,Renewables,Solar Rooftop,Solar,Dx,Mississauga,Peel,Toronto,Toronto
FIT 2,0.25,McGarry - Lakefront Lands,Solaire McGarry Solar Inc.,CO,20,20-Aug-16,05-Jan-18,19-Aug-36,Renewables,Solar Ground Mounted,Solar,Dx,McGarry,Cochrane,Northeast,South Georgian Bay/Muskoka
FIT 2,0.25,2010-041-01,Potentia Solar 14 Limited Partnership,CO,20,10-Apr-15,25-May-15,09-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Windsor,Essex,West,Greater Ottawa
FIT 2,0.25,Ranob Solar 2160,Ranob Estates Inc,CO,20,18-Apr-15,18-Dec-14,17-Dec-34,Renewables,Solar Rooftop,Solar,Dx,Mississauga,Peel,Southwest,Windsor-Essex
FIT 2,0.25,SMART-D 002PV,"SS Solar Power, ULC",CO,20,08-Apr-15,30-Oct-14,29-Oct-34,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,North/East of Sudbury
FIT 2,0.25,192WestburneKitch15,Solar Income Fund LP (#5),CO,20,16-Apr-15,16-Apr-15,15-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Kitchener,Waterloo,Southwest,Northwest Ontario
FIT 2,0.25,Frook Biogas Facility 3a,Carl and Marcia Frook,CO,20,10-Sep-16,09-Jul-15,08-Jul-35,Renewables,Bioenergy,Biogas,Dx,Elmwood,Bruce,Southwest,Greater Ottawa
FIT 2,0.25,A_1203Equestrian,2343461 Ontario Inc.,CO,20,03-Apr-15,20-Aug-15,02-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Oakville,Halton,Southwest,Greater Ottawa
FIT 2,0.25,Canduct 250,M.Greaves Holdings Inc.,CO,20,10-Apr-15,05-May-15,09-Apr-35,Renewables,Solar Rooftop,Solar,Dx,London,Middlesex,West,Peterborough to Kingston
FIT 2,0.25,Brant Business Park: BGI Building,Corporation of the County of Brant; Six Nations of the Grand River; 2325705 Ontario Inc.,CO,20,08-Apr-15,06-Mar-15,05-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Paris,Brant,Southwest,Windsor-Essex
FIT 2,0.25,90 Princess St.,SE7 2013 LP,CO,20,26-Feb-15,17-Mar-15,25-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Cobourg,Northumberland,East,London Area
FIT 2,0.25,Cobalt - Lagoon 1,Solaire Cobalt Solar Inc.,CO,20,20-Aug-16,05-Jan-18,19-Aug-36,Renewables,Solar Ground Mounted,Solar,Dx,Fauquier,Cochrane,Northeast,Kitchener-Waterloo-Guelph-Cambridge
FIT 2,0.25,Nantyr Shores,Potentia Solar 5 Limited Partnership,CO,20,03-Apr-15,28-Sep-15,02-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Innisfil,Simcoe,Southwest,South Georgian Bay/Muskoka
FIT 2,0.25,Stanton Farms Biogas (Ilderton Road),Stanton Bros. Limited,CO,20,09-Oct-16,09-Apr-18,08-Oct-36,Renewables,Bioenergy,Biogas (On-Farm),Dx,Ilderton,Middlesex,West,South Georgian Bay/Muskoka
FIT 2,0.25,St. David Catholic High School,Potentia Solar 6 Limited Partnership,CO,20,03-Apr-15,15-Sep-15,02-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Waterloo,Waterloo,Southwest,South Georgian Bay/Muskoka
FIT 2,0.25,"224 7th Ave, Hanover",Solartek Green Earth Rooftop LP,CO,20,23-Apr-15,09-Oct-15,22-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Hanover,Grey,Southwest,GTA West
FIT 2,0.25,Weber Solar,2450346 Ontario Ltd.,CO,20,16-Apr-15,21-Jul-15,15-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Kincardine,Bruce,Bruce,Greater Ottawa
FIT 2,0.25,Teletech,Orillia Power Generation Corporation,CO,20,19-Feb-15,18-Mar-15,18-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Orillia,Simcoe,Essa,Niagara
FIT 2,0.25,O'Neal Biogas 1,O'Neil Energy,CO,20,10-Sep-16,31-Oct-16,09-Sep-36,Renewables,Bioenergy,Biogas (On-Farm),Dx,Maidstone,Essex,West,Niagara
FIT 2,0.25,Springvalley Farms (Elmvale) Limited,SCCEC LP,CO,20,03-Apr-15,25-May-15,02-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Tiny,Simcoe,Essa,GTA North
FIT 2,0.25,GGELP_0012,Gengrowth Energy LP,CO,20,15-Oct-16,03-Jan-17,14-Oct-36,Renewables,Solar Ground Mounted,Solar,Dx,Beaverton,Durham,Essa,South Georgian Bay/Muskoka
FIT 2,0.25,WSI 002PV,Cambridge Investments Inc.,CO,20,12-Mar-15,08-Apr-15,11-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Woodstock,Oxford,Southwest,Greater Ottawa
FIT 2,0.25,Ranka Power,1887202 ONTARIO INC.,CO,20,07-Mar-15,31-Aug-15,06-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Markham,York,Toronto,Niagara
FIT 2,0.25,209-60 Emblem,2219371 ONTARIO INC.,CO,20,19-Mar-15,31-Aug-15,18-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 2,0.25,Icarus 250kW Keswick,Icarus Whitesand Solar Limited Partnership,CO,20,23-Apr-15,25-Nov-15,22-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Keswick,York,Essa,GTA West
FIT 2,0.25,MSW Plastics,SE9 2013 LP,CO,20,18-Apr-15,19-Aug-15,17-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Palmerston,Wellington,Southwest,Renfrew
FIT 2,0.25,Brant Sports Complex,Corporation of the County of Brant and Sustainability Brant Community Energy Co-operative Inc.,CO,20,19-Mar-15,21-Nov-14,20-Nov-34,Renewables,Solar Rooftop,Solar,Dx,Paris,Brant,Southwest,Greater Bruce/Huron
FIT 2,0.25,1655 Tricont,Nautilus Green Energy Co-operative of Ontario LP,CO,20,21-Feb-15,26-Jun-15,20-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Whitby,Durham,Toronto,GTA North
FIT 2,0.25,TOR-26 Huddersfield,Métis Nation of Ontario - BrightRoof Solar LP,CO,20,23-Apr-15,26-Feb-15,25-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Niagara
FIT 2,0.25,EEC Marmora & Lake Rooftop Solar PV Project,Essex Energy Corporation,CO,20,08-Apr-15,24-Mar-15,23-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Marmora,Hastings,East,Windsor-Essex
FIT 2,0.25,Atikameksheng Solar Farm,Atikameksheng Anishnawbek,CO,20,10-Sep-16,13-Dec-17,09-Sep-36,Renewables,Solar Ground Mounted,Solar,Dx,Naughton,Greater Sudbury,Northeast,Peterborough to Kingston
FIT 2,0.25,180Basaltic,Community Solar Assets 2 Limited,CO,20,26-Feb-15,20-Feb-15,19-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Concord,York,Toronto,Northwest Ontario
FIT 2,0.25,GGELP_0004,Gengrowth Energy LP,CO,20,15-Oct-16,17-May-17,14-Oct-36,Renewables,Solar Ground Mounted,Solar,Dx,Beaverton,Durham,Essa,Greater Ottawa
FIT 2,0.25,GGELP_0002,Gengrowth Energy LP,CO,20,15-Oct-16,03-Jan-17,14-Oct-36,Renewables,Solar Ground Mounted,Solar,Dx,Colborne,Northumberland,East,Burlington to Nanticoke
FIT 2,0.25,SMART-B 002PV,"SS Solar Power, ULC",CO,20,08-Apr-15,30-Sep-14,29-Sep-34,Renewables,Solar Rooftop,Solar,Dx,Brampton,Peel,Toronto,Northwest Ontario
FIT 2,0.25,GEO-100 Armstrong,Métis Nation of Ontario - BrightRoof Solar LP,CO,20,10-Apr-15,12-Nov-14,11-Nov-34,Renewables,Solar Rooftop,Solar,Dx,Halton Hills,Halton,Toronto,Niagara
FIT 2,0.25,50 Torlake Cres,1753934 Ontario Ltd.,CO,20,19-Mar-15,19-Mar-15,18-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Toronto
FIT 2,0.25,62 Janti Rd - J Cyr,SUNSHARE2 LP,CO,20,22-Aug-16,06-Sep-16,21-Aug-36,Renewables,Solar Ground Mounted,Solar,Dx,Worthington,Greater Sudbury,Northeast,GTA North
FIT 2,0.25,8711Keele,Community Solar Assets 2 Limited,CO,20,26-Feb-15,22-May-15,25-Feb-35,Renewables,Solar Rooftop,Solar,Dx,Concord,York,Toronto,Sudbury/Algoma
FIT 2,0.25,Solar@169RamForestRd,"345388 Ontario Limited and 1632770 Ontario Inc., as Joint Venturers c.o.b. Ram Forest Storage",CO,20,01-Apr-15,17-Aug-15,31-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Gormley,York,Essa,South Georgian Bay/Muskoka
FIT 2,0.25,SMART-M 002PV,"SSTI Mavis Mississauga, LLC",CO,20,08-Apr-15,22-Sep-14,21-Sep-34,Renewables,Solar Rooftop,Solar,Dx,Mississauga,Peel,Toronto,South Georgian Bay/Muskoka
FIT 2,0.25,Solexica - 462 Kingston,Solexica Solar Ajax GP,CO,20,18-Apr-15,27-Apr-15,17-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Ajax,Durham,Toronto,South Georgian Bay/Muskoka
FIT 2,0.25,M03-328 Passmore,SHY1 2012 FIT2 LTD.,CO,20,01-Apr-15,31-Aug-15,31-Mar-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Niagara
FIT 2,0.25,Rye Park Solar,Rye Park Solar LP,CO,20,18-Apr-15,20-Oct-14,19-Oct-34,Renewables,Solar Rooftop,Solar,Dx,Peterborough,Peterborough,East,GTA North
FIT 2,0.25,Resurrection Catholic High School,Potentia Solar 6 Limited Partnership,CO,20,08-Apr-15,02-Sep-15,07-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Kitchener,Waterloo,Southwest,Toronto
FIT 2,0.25,Geene Solar PV,Gerardus Geene,CO,20,16-Apr-15,07-Jul-15,15-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Goderich,Huron,Bruce,Toronto
FIT 3,0.25,GG3-016,GSC Southlake Solar LP,CO,20,03-Sep-17,21-Feb-19,02-Sep-37,Renewables,Solar Ground Mounted,Solar,Dx,Sturgeon Falls,Nipissing,Northeast,Windsor-Essex
FIT 3,0.25,13 - Field and Flock Farms,SIF Amber (3.5) Project LP,CO,20,10-Oct-16,18-May-17,09-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Aylmer,Elgin,West,Toronto
FIT 3,0.25,40 Lewis Rd (GTDL),SUNSHARE3 LP,CO,20,23-Oct-16,01-Sep-16,31-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Guelph,Wellington,Southwest,GTA East
FIT 3,0.25,MALETTE DRAINAGE 250KW,AP SOLAR LP,CO,20,27-Aug-16,06-Jul-16,05-Jul-36,Renewables,Solar Rooftop,Solar,Dx,Lefaivre,Prescott and Russell,Ottawa,South Georgian Bay/Muskoka
FIT 3,0.25,P057A,Reliant First Nation Limited Partnership,CO,20,11-Sep-17,30-Jan-18,10-Sep-37,Renewables,Solar Rooftop,Solar,Dx,Mississauga,Peel,Toronto,Peterborough to Kingston
FIT 3,0.25,St. Joseph's West 2,QS15 2012 LP,CO,20,28-Feb-16,21-Jul-16,27-Feb-36,Renewables,Solar Rooftop,Solar,Dx,Hamilton,Hamilton,Southwest,North/East of Sudbury
FIT 3,0.25,Ron Van Geel,QS4 2012 LP,CO,20,29-Aug-17,18-Sep-17,28-Aug-37,Renewables,Solar Ground Mounted,Solar,Dx,Lucan,Middlesex,Southwest,South Georgian Bay/Muskoka
FIT 3,0.25,Wheeler_10020842v4,Skyline Private Opportunities Corp.,CO,20,27-Aug-16,05-Oct-16,26-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Lanark,Lanark,East,Toronto
FIT 3,0.25,80 Regal Road 2,2356932 ONTARIO INC.,CO,20,10-Oct-16,03-Apr-17,09-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Guelph,Wellington,Southwest,GTA West
FIT 3,0.25,GT AR2,TREC SolarShare Co-operative (No.1) Inc.,CO,20,29-Feb-16,02-Aug-16,28-Feb-36,Renewables,Solar Rooftop,Solar,Dx,Earlton,Timiskaming,Northeast,Toronto
FIT 3,0.25,SPN 227,SPN LP 7,CO,20,16-Oct-16,18-Apr-17,15-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Aurora,York,Essa,St. Lawrence
FIT 3,0.25,GG3-015,GSC Southlake Solar LP,CO,20,02-Sep-17,21-Feb-19,01-Sep-37,Renewables,Solar Ground Mounted,Solar,Dx,Sturgeon Falls,Nipissing,Northeast,Peterborough to Kingston
FIT 3,0.25,2316 Bridge St (Schiedel View Farms),Schiedel View Farms Inc. and Community Energy Development Co-operative Ltd. c.o.b. as CEDC TURKEY SUNSHARE JV,CO,20,28-Feb-16,08-Feb-16,07-Feb-36,Renewables,Solar Rooftop,Solar,Dx,New Hamburg,Waterloo,Southwest,GTA East
FIT 3,0.25,Cheff_10020643,Skyline Private Opportunities Corp.,CO,20,27-Aug-16,22-Nov-16,26-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Renfrew,Renfrew,East,Toronto
FIT 3,0.25,400 Southgate Dr (RohnBrad),SUNSHARE3 LP,CO,20,23-Oct-16,03-Nov-16,22-Oct-36,Renewables,Solar Rooftop,Solar,Dx,Guelph,Wellington,Southwest,GTA West
FIT 3,0.25,Leonhardt-10020612,Skyline Private Opportunities Corp.,CO,20,27-Aug-16,18-Oct-16,26-Aug-36,Renewables,Solar Rooftop,Solar,Dx,Centreville,Lennox and Addington,East,Greater Ottawa
FIT 3,0.25,550 Princess St (Shallow Lake Community Centre),NORTH SHORE POWER GROUP INC.,CO,20,03-Mar-16,11-Mar-16,02-Mar-36,Renewables,Solar Rooftop,Solar,Dx,Shallow Lake,Grey,Southwest,Kitchener-Waterloo-Guelph-Cambridge
FIT 3,0.25,GG3-006,GSC Southlake Solar LP,CO,20,02-Sep-17,21-Feb-19,01-Sep-37,Renewables,Solar Ground Mounted,Solar,Dx,Sturgeon Falls,Nipissing,Northeast,South Georgian Bay/Muskoka
FIT 3,0.25,Helios - 86 Panache,Helios Whitefish River First Nation Limited Partnership,CO,20,02-Sep-17,08-Feb-17,07-Feb-37,Renewables,Solar Ground Mounted,Solar,Dx,Espanola,Sudbury,Northeast,GTA East
