Contract Type,Contract Capacity (MW),Facility Name,Supplier Legal Name,Contract Status,Contract Term (Yrs),Milestone Commercial Operation Date,Term Start Date,Term End Date,Fuel Group,Technology,Fuel Type,Connection Type,Closest City/Town,Upper Municipality,IESO Zone,Regional Planning Zone
FIT 2,0.08,Keeling Place,2671718 Ontario Inc.,CO,20,10-Apr-15,27-Nov-14,26-Nov-34,Renewables,Solar Rooftop,Solar,Dx,Astorville,Nipissing,Northeast,Windsor-Essex
FIT 2,0.08,LON-15701 Robins Hill,Métis Nation of Ontario - BrightRoof Solar LP,CO,20,18-Apr-15,19-Mar-15,18-Mar-35,Renewables,Solar Rooftop,Solar,Dx,London,Middlesex,West,South Georgian Bay/Muskoka
FIT 2,0.08,Trillium Sales Group,Solblack SFN Inc.,CO,20,23-Apr-15,21-Oct-15,22-Apr-35,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Burlington to Nanticoke
FIT 2,0.08,NFN Nbisiing Secondary School,NFN Solar LP,CO,20,19-Feb-15,23-Apr-15,18-Feb-35,Renewables,Solar Rooftop,Solar,Dx,North Bay,Nipissing,Northeast,GTA West
FIT 2,0.08,Donwood Park Jr PS,TSPS (Portfolio 2) Limited Partnership,CO,20,06-Aug-16,29-Apr-16,28-Apr-36,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Greater Bruce/Huron
FIT 2,0.08,KOPPERS SOLAR,JOHN JONKMAN LIMITED,CO,20,01-Apr-15,20-Oct-14,19-Oct-34,Renewables,Solar Rooftop,Solar,Dx,Oakland,Brant,Southwest,GTA West
FIT 2,0.08,CCS/Stan Adams Fanshawe 80kW,Solar Income Fund LP (#5),CO,20,27-May-15,13-Nov-15,26-May-35,Renewables,Solar Rooftop,Solar,Dx,London,Middlesex,West,Windsor-Essex
FIT 3,0.08,367 Woodlawn Rd W (Woodlawn Investments),SUNSHARE2 LP,CO,20,10-Oct-16,13-Jun-16,12-Jun-36,Renewables,Solar Rooftop,Solar,Dx,Guelph,Wellington,Southwest,Burlington to Nanticoke
FIT 3,0.08,CITYVIEW SOLAR,DAVID GORDON INNES,CO,20,27-Aug-16,02-Jun-16,01-Jun-36,Renewables,Solar Rooftop,Solar,Dx,Beachville,Oxford,Southwest,Peterborough to Kingston
FIT 3,0.08,HPEDSB Moira SS,Ameresco HPEDSB Solar Inc.,CO,20,28-Feb-16,19-Aug-16,27-Feb-36,Renewables,Solar Rooftop,Solar,Dx,Belleville,Hastings,East,Burlington to Nanticoke
FIT 3,0.08,Vandenberg 4,QS6 2012 LP,CO,20,28-Feb-16,04-Nov-15,03-Nov-35,Renewables,Solar Rooftop,Solar,Dx,Hamilton,Hamilton,Southwest,London Area
FIT 4,0.08,Bentworth Park Yard Administration Building,City of Toronto,CO,20,01-Mar-18,26-Jan-18,25-Jan-38,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,GTA West
FIT 4,0.08,Parkway Forest Community Centre,City of Toronto,CO,20,02-Feb-18,19-Jan-18,18-Jan-38,Renewables,Solar Rooftop,Solar,Dx,Toronto,Toronto,Toronto,Renfrew
RESOP,0.08,Ron Klages Power,Ron Klages and Georgina Klages,CO,40,,06-Jul-07,31-May-48,Renewables,Hydroelectricity,Waterpower,Dx,Chesley,Bruce,Southwest,Peterborough to Kingston
FIT 1,0.0798,Lewis Farm 3,493787 Ontario Limited,CO,20,30-Apr-12,19-Aug-11,18-Aug-31,Renewables,Solar Rooftop,Solar,Dx,Denfield,Middlesex,Southwest,GTA West
