Calendar Year,Scenario,Fuel Type,Output, Value 
2041,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh, -   
2041,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,919,428 "
2041,Dispatchable Dominant,Net Imports,Generation_MWh," 4,283,818 "
2041,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh," 29,525,692 "
2041,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh," 3,884,768 "
2041,Dispatchable Dominant,Other,Generation_MWh," 2,618,284 "
2041,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 947,049 "
2041,Dispatchable Dominant,Solar,Generation_MWh," 3,085,813 "
2041,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2041,Dispatchable Dominant,Wind,Generation_MWh," 11,496,140 "
2022,First Mover Advantage,Natural Gas Combined-Cycle,Generation_MWh," 11,777,621 "
2022,First Mover Advantage,Cogeneration,Generation_MWh," 34,518,785 "
2022,First Mover Advantage,Coal to Gas - Steam Boiler,Generation_MWh," 18,000,455 "
2022,First Mover Advantage,Hydroelectric,Generation_MWh," 1,911,329 "
2022,First Mover Advantage,Net Imports,Generation_MWh," 2,372,843 "
2022,First Mover Advantage,Combined-Cycle with CCUS,Generation_MWh, -   
2022,First Mover Advantage,Hydrogen Simple Cycle,Generation_MWh, -   
2022,First Mover Advantage,Other,Generation_MWh," 2,536,313 "
2022,First Mover Advantage,Natural Gas Simple-Cycle,Generation_MWh," 4,998,127 "
2022,First Mover Advantage,Solar,Generation_MWh," 1,260,546 "
2022,First Mover Advantage,Storage - Battery,Generation_MWh, -   
2022,First Mover Advantage,Wind,Generation_MWh," 9,271,405 "
2023,First Mover Advantage,Natural Gas Combined-Cycle,Generation_MWh," 15,865,076 "
2023,First Mover Advantage,Cogeneration,Generation_MWh," 34,660,488 "
2023,First Mover Advantage,Coal to Gas - Steam Boiler,Generation_MWh," 12,075,453 "
2023,First Mover Advantage,Hydroelectric,Generation_MWh," 1,910,746 "
2023,First Mover Advantage,Net Imports,Generation_MWh," 2,047,045 "
2023,First Mover Advantage,Combined-Cycle with CCUS,Generation_MWh, -   
2023,First Mover Advantage,Hydrogen Simple Cycle,Generation_MWh, -   
2023,First Mover Advantage,Other,Generation_MWh," 2,567,682 "
2023,First Mover Advantage,Natural Gas Simple-Cycle,Generation_MWh," 4,427,099 "
2023,First Mover Advantage,Solar,Generation_MWh," 2,516,181 "
2023,First Mover Advantage,Storage - Battery,Generation_MWh, -   
2023,First Mover Advantage,Wind,Generation_MWh," 11,941,839 "
2024,First Mover Advantage,Natural Gas Combined-Cycle,Generation_MWh," 15,667,706 "
2024,First Mover Advantage,Cogeneration,Generation_MWh," 38,114,280 "
2024,First Mover Advantage,Coal to Gas - Steam Boiler,Generation_MWh," 10,188,940 "
2024,First Mover Advantage,Hydroelectric,Generation_MWh," 1,917,571 "
2024,First Mover Advantage,Net Imports,Generation_MWh," 3,019,468 "
2024,First Mover Advantage,Combined-Cycle with CCUS,Generation_MWh, -   
2024,First Mover Advantage,Hydrogen Simple Cycle,Generation_MWh, -   
2024,First Mover Advantage,Other,Generation_MWh," 2,575,741 "
2024,First Mover Advantage,Natural Gas Simple-Cycle,Generation_MWh," 4,109,207 "
2024,First Mover Advantage,Solar,Generation_MWh," 2,924,254 "
2024,First Mover Advantage,Storage - Battery,Generation_MWh, -   
2024,First Mover Advantage,Wind,Generation_MWh," 12,126,533 "
2025,First Mover Advantage,Natural Gas Combined-Cycle,Generation_MWh," 14,582,435 "
2025,First Mover Advantage,Cogeneration,Generation_MWh," 41,818,044 "
2025,First Mover Advantage,Coal to Gas - Steam Boiler,Generation_MWh," 7,951,512 "
2025,First Mover Advantage,Hydroelectric,Generation_MWh," 1,908,754 "
2025,First Mover Advantage,Net Imports,Generation_MWh," 3,230,362 "
2025,First Mover Advantage,Combined-Cycle with CCUS,Generation_MWh, -   
2025,First Mover Advantage,Hydrogen Simple Cycle,Generation_MWh, -   
2025,First Mover Advantage,Other,Generation_MWh," 2,583,796 "
2025,First Mover Advantage,Natural Gas Simple-Cycle,Generation_MWh," 3,633,020 "
2025,First Mover Advantage,Solar,Generation_MWh," 3,250,068 "
2025,First Mover Advantage,Storage - Battery,Generation_MWh, -   
2025,First Mover Advantage,Wind,Generation_MWh," 12,115,683 "
2026,First Mover Advantage,Natural Gas Combined-Cycle,Generation_MWh," 13,422,111 "
2026,First Mover Advantage,Cogeneration,Generation_MWh," 41,890,653 "
2026,First Mover Advantage,Coal to Gas - Steam Boiler,Generation_MWh," 6,059,369 "
2026,First Mover Advantage,Hydroelectric,Generation_MWh," 1,904,990 "
2026,First Mover Advantage,Net Imports,Generation_MWh," 3,440,094 "
2026,First Mover Advantage,Combined-Cycle with CCUS,Generation_MWh," 3,214,998 "
2026,First Mover Advantage,Hydrogen Simple Cycle,Generation_MWh, -   
2026,First Mover Advantage,Other,Generation_MWh," 2,583,772 "
2026,First Mover Advantage,Natural Gas Simple-Cycle,Generation_MWh," 3,227,023 "
2026,First Mover Advantage,Solar,Generation_MWh," 3,575,883 "
2026,First Mover Advantage,Storage - Battery,Generation_MWh, -   
2026,First Mover Advantage,Wind,Generation_MWh," 12,115,601 "
2027,First Mover Advantage,Natural Gas Combined-Cycle,Generation_MWh," 10,504,681 "
2027,First Mover Advantage,Cogeneration,Generation_MWh," 42,201,910 "
2027,First Mover Advantage,Coal to Gas - Steam Boiler,Generation_MWh," 3,359,777 "
2027,First Mover Advantage,Hydroelectric,Generation_MWh," 1,886,539 "
2027,First Mover Advantage,Net Imports,Generation_MWh," 1,928,181 "
2027,First Mover Advantage,Combined-Cycle with CCUS,Generation_MWh," 9,613,019 "
2027,First Mover Advantage,Hydrogen Simple Cycle,Generation_MWh, -   
2027,First Mover Advantage,Other,Generation_MWh," 2,572,155 "
2027,First Mover Advantage,Natural Gas Simple-Cycle,Generation_MWh," 2,414,401 "
2027,First Mover Advantage,Solar,Generation_MWh," 3,901,698 "
2027,First Mover Advantage,Storage - Battery,Generation_MWh, -   
2027,First Mover Advantage,Wind,Generation_MWh," 13,308,357 "
2028,First Mover Advantage,Natural Gas Combined-Cycle,Generation_MWh," 9,828,727 "
2028,First Mover Advantage,Cogeneration,Generation_MWh," 42,626,125 "
2028,First Mover Advantage,Coal to Gas - Steam Boiler,Generation_MWh," 2,607,214 "
2028,First Mover Advantage,Hydroelectric,Generation_MWh," 1,897,513 "
2028,First Mover Advantage,Net Imports,Generation_MWh," 2,306,638 "
2028,First Mover Advantage,Combined-Cycle with CCUS,Generation_MWh," 9,599,094 "
2028,First Mover Advantage,Hydrogen Simple Cycle,Generation_MWh, -   
2028,First Mover Advantage,Other,Generation_MWh," 2,602,384 "
2028,First Mover Advantage,Natural Gas Simple-Cycle,Generation_MWh," 2,305,305 "
2028,First Mover Advantage,Solar,Generation_MWh," 4,227,512 "
2028,First Mover Advantage,Storage - Battery,Generation_MWh, -   
2028,First Mover Advantage,Wind,Generation_MWh," 15,367,488 "
2029,First Mover Advantage,Natural Gas Combined-Cycle,Generation_MWh," 9,125,576 "
2029,First Mover Advantage,Cogeneration,Generation_MWh," 42,986,387 "
2029,First Mover Advantage,Coal to Gas - Steam Boiler,Generation_MWh," 1,672,590 "
